品牌,商品名稱,6個月評分,價格,商品說明
DR.WU 達爾膚,玻尿酸保濕精華化妝水(清爽型) INTENSIVE HYDRATING ESSENCE TONER WITH HYALURONIC ACID (LIGHT),5.8,800,智慧型肌因活水科技: 業界唯一，日德法保濕專利，結合日本大分子玻尿酸，與專利小分子玻尿酸，達到外鎖水內補水，加上德國專利玻尿酸肌活因子與法國專利玻尿酸啟動因子，啟動深層水巡力，肌活保濕不間斷。清爽水感質地，可搭配化妝棉救急濕敷，一敷重現水亮光澤添加維他命B3與維他命原B5，迅速補水、舒緩乾燥
shu uemura 植村秀,無極限保濕妝前乳,5.8,1600,"可以修飾臉部暗沉、
蠟黃讓肌膚更白皙
神級全能妝前乳！一瓶打趴市面上所有防曬、妝前、飾底乳
植村秀研發最新科技「智慧修片感光粉末」，將紅、藍光色彩粒子加入無極限保濕妝前乳中，推出最符合亞洲人膚色的四種色選，不論哪一種膚色，都可以針對自己的需求為妝前完美打底，自然校正亞洲人最在意的肌膚暗沉問題，自然提亮不死白。
單用這款妝前乳，就像瞬間加上修片濾鏡，掃除熬夜的暗沉、蠟黃，提亮全臉立體光澤，讓妳在視訊鏡頭前、外出拿下口罩時，都能呈現好皮膚質感。
防護更升級！全天候抵禦紫外線
即便戴著口罩，出門也絕對要擦上具有防曬效果的妝前乳！單靠口罩無法隔絕夏天的刺激紫外線。
植村秀結合最新防曬科技，將防曬係數拉到最高SPF50+ PA+++，卻同時擁有超清爽的質地，宛如擦上不黏膩的保養乳液般。
保濕更升級！底妝爆服貼
全系列添加三大植物萃取-玉米、睡蓮、牡丹，除此之外，更特別添加植村秀明星成分「海洋深層水」，與人體PH值相符，可以更快將保濕成分滲入直達肌底，為肌膚補充源源不絕的水分。
 
粉色
適合白皙肌膚，
可增添粉嫩光澤感
神級全能妝前乳！一瓶打趴市面上所有防曬、妝前、飾底乳
植村秀研發最新科技「智慧修片感光粉末」，將紅、藍光色彩粒子加入無極限保濕妝前乳中，推出最符合亞洲人膚色的四種色選，不論哪一種膚色，都可以針對自己的需求為妝前完美打底，自然校正亞洲人最在意的肌膚暗沉問題，自然提亮不死白。
單用這款妝前乳，就像瞬間加上修片濾鏡，掃除熬夜的暗沉、蠟黃，提亮全臉立體光澤，讓妳在視訊鏡頭前、外出拿下口罩時，都能呈現好皮膚質感。
防護更升級！全天候抵禦紫外線
即便戴著口罩，出門也絕對要擦上具有防曬效果的妝前乳！單靠口罩無法隔絕夏天的刺激紫外線。
植村秀結合最新防曬科技，將防曬係數拉到最高SPF50+ PA+++，卻同時擁有超清爽的質地，宛如擦上不黏膩的保養乳液般。
保濕更升級！底妝爆服貼
全系列添加三大植物萃取-玉米、睡蓮、牡丹，除此之外，更特別添加植村秀明星成分「海洋深層水」，與人體PH值相符，可以更快將保濕成分滲入直達肌底，為肌膚補充源源不絕的水分。
 
適合所有膚色使用，
具提亮效果
神級全能妝前乳！一瓶打趴市面上所有防曬、妝前、飾底乳
植村秀研發最新科技「智慧修片感光粉末」，將紅、藍光色彩粒子加入無極限保濕妝前乳中，推出最符合亞洲人膚色的四種色選，不論哪一種膚色，都可以針對自己的需求為妝前完美打底，自然校正亞洲人最在意的肌膚暗沉問題，自然提亮不死白。
單用這款妝前乳，就像瞬間加上修片濾鏡，掃除熬夜的暗沉、蠟黃，提亮全臉立體光澤，讓妳在視訊鏡頭前、外出拿下口罩時，都能呈現好皮膚質感。
防護更升級！全天候抵禦紫外線
即便戴著口罩，出門也絕對要擦上具有防曬效果的妝前乳！單靠口罩無法隔絕夏天的刺激紫外線。
植村秀結合最新防曬科技，將防曬係數拉到最高SPF50+ PA+++，卻同時擁有超清爽的質地，宛如擦上不黏膩的保養乳液般。
保濕更升級！底妝爆服貼
全系列添加三大植物萃取-玉米、睡蓮、牡丹，除此之外，更特別添加植村秀明星成分「海洋深層水」，與人體PH值相符，可以更快將保濕成分滲入直達肌底，為肌膚補充源源不絕的水分。
"
YSL 聖羅蘭,極效活萃淨亮晶透露,5.9,2650,"完美調和 97% 微酸透亮精華 & 3%舒緩植萃精油 注入長效保濕 肌膚宛如拋光般晶瑩剔透、平滑透亮 同時溫和舒緩並調理油水平衡 一滴實現晶瑩透亮仙女肌
"
LA MER 海洋拉娜,濃萃雙重修復精華 The Concentrate,5.6,6200/12000/18600,海洋拉娜濃萃修復精華富含高倍濃度濃縮精華Miracle BrothTM 成分，有助於舒緩、強化以及穩定脆弱肌膚，被譽為肌膚救星、奇蹟創造者與強力肌膚修復聖品。這款深受海洋拉娜消費者推崇的經典產品全新升級，除提供肌膚環境防護力，維持一貫奢華細緻的質地外，新添加成分提供雙重修護能量，強化並且穩定、舒緩肌膚，效果全都看得見。
LION Kirei-kirei 日本獅王趣淨,趣淨敏弱肌專用洗手慕斯 Medicated Hand Conditioning Soap 450ml,5.7,329,"啟動潤澤鎖水屏障、呵護手部敏弱肌
・清潔洗淨成分再增加1.6倍(*與趣淨抗菌洗手慕斯250ml相比)
・好感瓶身設計，融入各種裝潢風格的乳白色、搭配觸感溫柔的圓弧狀，另人愛不釋手
・採用日本SIAA認證壓頭
・溫和皂香，清新的柔和清香
"
Hada-Labo 肌研,極潤抗皺緊實高機能化粧水,5.6,570,"1. 嚴選日本厚生省核准成分「菸鹼醯胺」，針對在意的細紋問題，不僅由內而外提升肌膚彈性，使在意的眼周、嘴角、雙頰恢復緊實平滑，肌膚澎潤透亮，重現年輕實感！
2. 添加3重玻尿酸—玻尿酸、高效玻尿酸、水解玻尿酸，長效鎖水潤澤肌膚
3. 宛如精華液般質地，輕拍瞬間吸收，從肌底煥發年輕光采
4. 採用與健康肌膚相同的弱酸性溫和配方
5. 無添加香料、色素、礦物油、酒精
"
SHISEIDO 資生堂國際櫃,激抗痕亮采緊緻霜(豐潤版),5.9,3700,"針對亞洲女性推出資生堂激抗痕亮采緊緻霜，解決因年齡增長所造成肌膚問題、彈力喪失及膚色暗沉的困擾。升級資生堂獨家高感度傳遞科技，幫助多種優異的抗老成分可滲透至肌膚內吸收，一抹逆齡緊緻無痕，肌膚立即感受澎彈水潤，長效保濕不黏膩，解決眼周困擾。
 
-如何使用 :
在保養程序的最後一個步驟使用。
沾取兩顆珍珠大小的使用量於指尖上，並輕點雙頰，前額，鼻子與下巴，並按照圖中動作滑動均勻推抹全臉。將食指置於在意的表情紋上，用手心緊緊向外及向上推展肌膚。
"
Hada-Labo 肌研,極潤抗皺緊實多效凝露,5.6,680,"添加雙重成分「菸鹼醯胺、甘草酸二鉀」，不僅能由內而外提升肌膚彈性，使在意的眼周、嘴角、雙頰恢復緊實平滑，使膚色更淨白透亮，一瓶雙效！
- 日本同步新上市！
- 洗臉後只要1瓶取代「化妝水、乳液、精華液、乳霜、面膜」，宛如隱形面膜般，形成長效緊緻彈力網
- 弱酸性溫和配方，無添加香料、色素、酒精
"
C’EST VRAI 莎菲亞,初乳復活草輕潤乳霜 Pritcin® Anastatica Light Moisturizing Cream,5.7,1280,"初乳復活草輕潤乳霜
深層修護｜浸潤保濕｜柔嫩膚觸

角鲨烷、神經醯胺能深度修護乾燥肌膚，加上南非復活草神奇能量，迅速使肌膚達到滿水位，回復澎彈水潤的健康狀態。

【初乳胜肽舒敏系列】
―專為敏感脆弱膚況打造的全方位安心保養
▸全系列添加品牌獨家研發Pritcin®-LGP™初乳修護胜肽萃取自48小時內的新鮮初乳，具有強大的舒緩與修護力。
▸從最重要的水質嚴格把關，採用UPW超級純水，經過七道系統層層淨化。
▸嚴選天然植物萃取，溫和無負擔，並達到多重保養功效，回復健康水潤好膚質。
"
YSL 聖羅蘭,恆久完美無瑕粉底,5.9,2350,"2018.08 新色2色
擁有令人驚豔的持妝效果，有效抗汗控油。可以完美的遮瑕肌膚上所有瑕疵卻無厚重感。具有保濕成分能完美貼服肌膚，並且可以讓底妝一整天都不暗沉，維持乾淨明亮的妝容，讓你從早到晚都完美無破綻! 
無瑕零毛孔 X超微米遮瑕分子
超細微遮瑕色料因子，可以精細針對臉上瑕疵、膚色不均做全面修飾，高度遮瑕卻薄透讓肌膚呼吸，沒有面具的厚重感，並像使用柔焦鏡般肌膚零毛孔，再小的瑕疵都無所遁形
保濕高控油 X超時控油科技
蘊含史上最輕「超持久奈米微粒」，能抗汗控油，吸附臉上多餘油脂，並結合「頂級植物精萃」保養成分，保濕服貼。
明亮超完美X抗暗沉複合物
結合具有淨化&抗暗沉的兩種活性分子，妝容維持整天明亮不暗沉，隨時都像剛上妝一樣完美。
(2017.07上市)
"
Dior 迪奧,極淨舒緩潔顏慕斯,5.6,1680,"DIOR全新推出極淨舒緩潔顏慕斯，富蘊高比例自然來源成分，有效淨化、舒緩肌膚。
–深層淨化：可溫和去除臉上殘留彩妝、防曬、過多的皮脂與灰塵。
–護膚功效：洗後舒緩同時強化肌膚表皮，賦予肌膚長效水潤感。
添加來自全新DIOR花園的法國白睡蓮萃取，具深層淨化功效；矢車菊精萃，具舒緩功效。
輕盈細緻質地，兼具乳霜的柔滑感受與潔顏慕斯的淨化功效，可溫和去除臉上殘留彩妝、防曬、過多的皮脂與灰塵，深層清潔同時留下舒適感受，洗後肌膚散發純淨光采。
 
"
